"keyword","name","address","city","state","zip","country","phone","phonestring","website","email","time"
"ngo in bangladesh","World Vision Bangladesh - National Office","2 Abedin Tower, 35 Kemal Ataturk Ave, Dhaka 1213"," Dhaka","","1213","","","","/url?q=http://www.wvi.org/bangladesh&sa=U&ved=0ahUKEwi-n7SHnsfqAhVJAXIKHeKhDeYQ61gIqwQoDjAM&usg=AOvVaw1a-l5kbF-f-n7IVTEkhd8e","",""
"ngo in bangladesh","YPSA (Young Power in Social Action)","House # F10 (P), Block-B Chandgaon, R/A Rd No. 13, Chattogram 4212"," Chattogram","","4212","","","","/url?q=http://ypsa.org/&sa=U&ved=0ahUKEwi-n7SHnsfqAhVJAXIKHeKhDeYQ61gI2gQoETAN&usg=AOvVaw2zBe7TBpzgPWyjseB2WxlQ","",""
"ngo in bangladesh","Islamic Relief Bangladesh","Dhaka 1212"," Dhaka","","1212","","","","/url?q=http://islamicrelief.org.bd/&sa=U&ved=0ahUKEwi-n7SHnsfqAhVJAXIKHeKhDeYQ61gIhgUoDjAO&usg=AOvVaw1hl_hhhY8iduPkL_9Sed9u","",""
"ngo in bangladesh","Ukhiya Team Office, CARE Bangladesh",""," Haldia Palong","","","","","","/url?q=http://www.carebangladesh.org/&sa=U&ved=0ahUKEwi-n7SHnsfqAhVJAXIKHeKhDeYQ61gIpAUoCTAP&usg=AOvVaw25pNRyBsFlHRkGqzKQXkc4","",""
"ngo in bangladesh","Shushilan",""," Munshiganj","","","","","","/url?q=http://www.shushilan.org/&sa=U&ved=0ahUKEwi-n7SHnsfqAhVJAXIKHeKhDeYQ61gIywUoCTAQ&usg=AOvVaw04A3rvQtPwMubt9Ac1kypR","",""
"ngo in bangladesh","Danish Refugee Council, Bangladesh","Sayeman Heritage Residence (1st Floor), Sayeman Road, Baharchara, Cox's Bazar, 4700"," Cox's Bazar","","4700","","","","/url?q=https://drc.ngo/where-we-work/asia/bangladesh&sa=U&ved=0ahUKEwi-n7SHnsfqAhVJAXIKHeKhDeYQ61gI-AUoDzAR&usg=AOvVaw1xtIKoUiuixNACtjFQpLyX","",""
"ngo in bangladesh","ASA Branch Office, Comilla Sadar 3","Comilla - Bibir Bazar Rd, Cumilla"," Cumilla","","","","","","/url?q=http://www.asa.org.bd/&sa=U&ved=0ahUKEwi-n7SHnsfqAhVJAXIKHeKhDeYQ61gIoQYoCzAS&usg=AOvVaw1Yui59P-wnnmZNK_sfphO3","",""
"ngo in bangladesh","Helvetas Swiss Intercooperation Bangladesh","House 13/A NE(K), Rd 83, Dhaka 1212"," Dhaka","","1212","","","","/url?q=http://www.helvetas.org/bangladesh&sa=U&ved=0ahUKEwi-n7SHnsfqAhVJAXIKHeKhDeYQ61gIyAYoEjAT&usg=AOvVaw2GSa19CQmCtD9frmZ4Muw8","",""
"ngo in bangladesh","Bangladesh Environment and Development Society (BEDS)","House No. 6/3, Road No 01 Prantika R/A, Nirala, Khulna, 9100"," Khulna","","9100","","","","/url?q=https://www.bedsbd.org/&sa=U&ved=0ahUKEwixnfqJnsfqAhWNbn0KHZwpDFEQ61gIFigPMAA&usg=AOvVaw19cD5kwWnfNFRKFxm2xJ63","",""
"ngo in bangladesh","RDRS Bangladesh, Thakurgaon","Jagannathpur, Dhaka - Thakurgaon Hwy"," Jagannathpur","","","","","","","",""
"ngo in bangladesh","RDRS Bangladesh Tatulia Office","Tentulia 5030"," Tentulia","","5030","","","","","",""
"ngo in bangladesh","Aid Foundation","Jhenaidah"," Jhenaidah","","","","","","/url?q=http://www.aid-bd.org/&sa=U&ved=0ahUKEwixnfqJnsfqAhWNbn0KHZwpDFEQ61gIeygKMAM&usg=AOvVaw366sYq4HIJ8GyyIDvJYwgo","",""
"ngo in bangladesh","Friendship","K14, 2A North Road, Dhaka 1212"," Dhaka","","1212","","","","/url?q=http://www.friendship.ngo/&sa=U&ved=0ahUKEwixnfqJnsfqAhWNbn0KHZwpDFEQ61gIoQEoETAE&usg=AOvVaw1wZE4_vg9SyJiQy2lDxNyT","",""
"ngo in bangladesh","ASA District Office, Feni","Moduai Rd"," Barahipur","","","","","","/url?q=http://www.asa.org.bd/&sa=U&ved=0ahUKEwixnfqJnsfqAhWNbn0KHZwpDFEQ61gIzAEoDTAF&usg=AOvVaw2LZwCtFZzXwhDqCZZVKv0y","",""
"ngo in bangladesh","Bangladesh Child And Women Foundation","Rd No 5, Dhaka 1212"," Dhaka","","1212","","","","","",""
"ngo in bangladesh","iDE Bangladesh","Rd 90, Dhaka 1212"," Dhaka","","1212","","","","/url?q=http://www.ideglobal.org/&sa=U&ved=0ahUKEwixnfqJnsfqAhWNbn0KHZwpDFEQ61gIkAIoEDAH&usg=AOvVaw2W_WRfNE2jkzsFbseKz2HY","",""
"ngo in bangladesh","ASA Branch Office, Shonkuchail","Comilla - B.Baria Bypass Road, 3500"," Rajapur","","3500","","","","/url?q=http://www.asa.org.bd/&sa=U&ved=0ahUKEwixnfqJnsfqAhWNbn0KHZwpDFEQ61gIugIoDTAI&usg=AOvVaw1parwJADRx-8_e8AE8kNCm","",""
